Age,Club,Club Logo,Flag,ID,Name,Nationality,Overall,Photo,Potential,Special,EUR_value,EUR_wage
24,CD Feirense,https://cdn.sofifa.org/24/18/teams/10019.png,https://cdn.sofifa.org/flags/38.png,212474,Tiago Silva,Portugal,72,https://cdn.sofifa.org/48/18/players/212474.png,76,1878,4099999.9999999995,5000.0
29,Osmanl?spor,https://cdn.sofifa.org/24/18/teams/112958.png,https://cdn.sofifa.org/flags/48.png,177914,M. Güven,Turkey,72,https://cdn.sofifa.org/48/18/players/177914.png,72,1911,2400000.0,13000.0
27,Lobos de la BUAP,https://cdn.sofifa.org/24/18/teams/111035.png,https://cdn.sofifa.org/flags/59.png,204539,L. Advíncula,Peru,72,https://cdn.sofifa.org/48/18/players/204539.png,73,2034,2900000.0,35000.0
24,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,https://cdn.sofifa.org/flags/14.png,206075,S. Johnstone,England,72,https://cdn.sofifa.org/48/18/players/206075.png,80,1180,3400000.0,40000.0
29,Associação Chapecoense de Futebol,https://cdn.sofifa.org/24/18/teams/112476.png,https://cdn.sofifa.org/flags/54.png,230395,Denaldo Carneiro,Brazil,72,https://cdn.sofifa.org/48/18/players/230395.png,72,1638,2400000.0,12000.0
27,Rosenborg BK,https://cdn.sofifa.org/24/18/teams/298.png,https://cdn.sofifa.org/flags/36.png,190459,A. Hansen,Norway,72,https://cdn.sofifa.org/48/18/players/190459.png,74,1187,2500000.0,5000.0
25,Genoa,https://cdn.sofifa.org/24/18/teams/110556.png,https://cdn.sofifa.org/flags/117.png,198908,I. Cofie,Ghana,72,https://cdn.sofifa.org/48/18/players/198908.png,75,1975,3800000.0,20000.0
29,1. FC Union Berlin,https://cdn.sofifa.org/24/18/teams/1831.png,https://cdn.sofifa.org/flags/21.png,177404,S. Fürstner,Germany,72,https://cdn.sofifa.org/48/18/players/177404.png,72,1834,2400000.0,21000.0
28,Frosinone,https://cdn.sofifa.org/24/18/teams/111657.png,https://cdn.sofifa.org/flags/27.png,189436,L. Ariaudo,Italy,72,https://cdn.sofifa.org/48/18/players/189436.png,72,1572,2500000.0,4000.0
27,Estudiantes de La Plata,https://cdn.sofifa.org/24/18/teams/101083.png,https://cdn.sofifa.org/flags/52.png,218621,F. Sánchez,Argentina,72,https://cdn.sofifa.org/48/18/players/218621.png,73,1894,2900000.0,11000.0
33,CD Universidad de Concepción,https://cdn.sofifa.org/24/18/teams/112534.png,https://cdn.sofifa.org/flags/55.png,159997,C. Mestierra,Chile,72,https://cdn.sofifa.org/48/18/players/159997.png,72,1938,2000000.0,4000.0
22,U.N.A.M.,https://cdn.sofifa.org/24/18/teams/1881.png,https://cdn.sofifa.org/flags/83.png,226045,J. Gallardo,Mexico,72,https://cdn.sofifa.org/48/18/players/226045.png,78,1766,4300000.0,14000.0
28,Querétaro,https://cdn.sofifa.org/24/18/teams/110150.png,https://cdn.sofifa.org/flags/54.png,200446,Camilo,Brazil,72,https://cdn.sofifa.org/48/18/players/200446.png,72,1880,3200000.0,10000.0
23,Boca Juniors,https://cdn.sofifa.org/24/18/teams/1877.png,https://cdn.sofifa.org/flags/52.png,224510,W. Bou,Argentina,72,https://cdn.sofifa.org/48/18/players/224510.png,79,1707,4400000.0,15000.0
32,SD Huesca,https://cdn.sofifa.org/24/18/teams/110839.png,https://cdn.sofifa.org/flags/45.png,171774,Luso,Spain,72,https://cdn.sofifa.org/48/18/players/171774.png,72,1870,1800000.0,6000.0
33,Chievo Verona,https://cdn.sofifa.org/24/18/teams/192.png,https://cdn.sofifa.org/flags/18.png,178430,N. Frey,France,72,https://cdn.sofifa.org/48/18/players/178430.png,72,1752,1200000.0,11000.0
26,Empoli,https://cdn.sofifa.org/24/18/teams/1746.png,https://cdn.sofifa.org/flags/27.png,209407,L. Lollo,Italy,72,https://cdn.sofifa.org/48/18/players/209407.png,75,1926,3800000.0,4000.0
32,Real Zaragoza,https://cdn.sofifa.org/24/18/teams/244.png,https://cdn.sofifa.org/flags/45.png,162047,Zapater,Spain,72,https://cdn.sofifa.org/48/18/players/162047.png,72,1906,1800000.0,8000.0
27,Jeonnam Dragons,https://cdn.sofifa.org/24/18/teams/1475.png,https://cdn.sofifa.org/flags/167.png,232191,Lee Ho Seung,Korea Republic,72,https://cdn.sofifa.org/48/18/players/232191.png,72,1034,2100000.0,4000.0
35,Estudiantes de La Plata,https://cdn.sofifa.org/24/18/teams/101083.png,https://cdn.sofifa.org/flags/52.png,142592,I. Damonte,Argentina,71,https://cdn.sofifa.org/48/18/players/142592.png,71,1890,550000.0,8000.0
19,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,https://cdn.sofifa.org/flags/136.png,230144,A. Dioussé,Senegal,71,https://cdn.sofifa.org/48/18/players/230144.png,81,1843,3700000.0,13000.0
34,Rayo Vallecano,https://cdn.sofifa.org/24/18/teams/480.png,https://cdn.sofifa.org/flags/45.png,138497,Amaya,Spain,71,https://cdn.sofifa.org/48/18/players/138497.png,71,1416,725000.0,8000.0
29,Medicana Sivasspor,https://cdn.sofifa.org/24/18/teams/101041.png,https://cdn.sofifa.org/flags/133.png,185089,E. Echiéjilé,Nigeria,71,https://cdn.sofifa.org/48/18/players/185089.png,71,1912,1800000.0,11000.0
27,Pogo? Szczecin,https://cdn.sofifa.org/24/18/teams/110746.png,https://cdn.sofifa.org/flags/39.png,202754,C. Râp?,Romania,71,https://cdn.sofifa.org/48/18/players/202754.png,72,1811,2200000.0,5000.0
22,Brighton & Hove Albion,https://cdn.sofifa.org/24/18/teams/1808.png,https://cdn.sofifa.org/flags/14.png,206594,S. March,England,71,https://cdn.sofifa.org/48/18/players/206594.png,80,1765,3600000.0,27000.0
26,Houston Dynamo,https://cdn.sofifa.org/24/18/teams/698.png,https://cdn.sofifa.org/flags/56.png,214018,J. Cabezas,Colombia,71,https://cdn.sofifa.org/48/18/players/214018.png,72,1761,2300000.0,3000.0
25,Atlético Clube Goianiense,https://cdn.sofifa.org/24/18/teams/112119.png,https://cdn.sofifa.org/flags/54.png,233986,Jony Reitosa,Brazil,71,https://cdn.sofifa.org/48/18/players/233986.png,71,1796,2000000.0,9000.0
33,SV Darmstadt 98,https://cdn.sofifa.org/24/18/teams/110502.png,https://cdn.sofifa.org/flags/21.png,54018,P. Niemeyer,Germany,71,https://cdn.sofifa.org/48/18/players/54018.png,71,1578,950000.0,16000.0
27,Parma,https://cdn.sofifa.org/24/18/teams/50.png,https://cdn.sofifa.org/flags/27.png,216067,R. Gagliolo,Italy,71,https://cdn.sofifa.org/48/18/players/216067.png,71,1694,2000000.0,3000.0
24,CA Osasuna,https://cdn.sofifa.org/24/18/teams/479.png,https://cdn.sofifa.org/flags/45.png,224003,Sergio Herrera,Spain,71,https://cdn.sofifa.org/48/18/players/224003.png,77,1152,2400000.0,5000.0
24,Sporting Lokeren,https://cdn.sofifa.org/24/18/teams/2007.png,https://cdn.sofifa.org/flags/10.png,240899,J. Filipovi?,Croatia,71,https://cdn.sofifa.org/48/18/players/240899.png,76,1460,2700000.0,9000.0
24,SD Huesca,https://cdn.sofifa.org/24/18/teams/110839.png,https://cdn.sofifa.org/flags/61.png,207876,A. González,Venezuela,71,https://cdn.sofifa.org/48/18/players/207876.png,74,1955,3000000.0,6000.0
27,Real Sporting de Gijón,https://cdn.sofifa.org/24/18/teams/459.png,https://cdn.sofifa.org/flags/45.png,193796,Isma López,Spain,71,https://cdn.sofifa.org/48/18/players/193796.png,72,1881,2200000.0,8000.0
28,Deportes Tolima,https://cdn.sofifa.org/24/18/teams/111722.png,https://cdn.sofifa.org/flags/56.png,214021,F. Torijano,Colombia,71,https://cdn.sofifa.org/48/18/players/214021.png,72,1556,2200000.0,2000.0
31,Ipswich Town,https://cdn.sofifa.org/24/18/teams/94.png,https://cdn.sofifa.org/flags/14.png,162053,L. Chambers,England,71,https://cdn.sofifa.org/48/18/players/162053.png,71,1570,1600000.0,14000.0
29,São Paulo Futebol Clube,https://cdn.sofifa.org/24/18/teams/598.png,https://cdn.sofifa.org/flags/54.png,230405,Barbosaldinho,Brazil,71,https://cdn.sofifa.org/48/18/players/230405.png,71,1545,1800000.0,19000.0
19,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,https://cdn.sofifa.org/flags/18.png,231685,R. Pierre-Gabriel,France,71,https://cdn.sofifa.org/48/18/players/231685.png,81,1810,3200000.0,11000.0
27,Hellas Verona,https://cdn.sofifa.org/24/18/teams/206.png,https://cdn.sofifa.org/flags/27.png,199174,A. Caracciolo,Italy,71,https://cdn.sofifa.org/48/18/players/199174.png,73,1503,2300000.0,17000.0
20,Jeonnam Dragons,https://cdn.sofifa.org/24/18/teams/1475.png,https://cdn.sofifa.org/flags/167.png,231942,Han Chan Hee,Korea Republic,71,https://cdn.sofifa.org/48/18/players/231942.png,83,1829,4200000.0,5000.0
34,FC Midtjylland,https://cdn.sofifa.org/24/18/teams/1516.png,https://cdn.sofifa.org/flags/34.png,45574,R. van der Vaart,Netherlands,71,https://cdn.sofifa.org/48/18/players/45574.png,71,1775,1200000.0,16000.0
30,Evkur Yeni Malatyaspor,https://cdn.sofifa.org/24/18/teams/113259.png,https://cdn.sofifa.org/flags/129.png,210439,K. Boutaïb,Morocco,71,https://cdn.sofifa.org/48/18/players/210439.png,71,1684,2300000.0,12000.0
22,Estoril Praia,https://cdn.sofifa.org/24/18/teams/10020.png,https://cdn.sofifa.org/flags/54.png,215559,Lucas Evangelista,Brazil,71,https://cdn.sofifa.org/48/18/players/215559.png,78,1859,3300000.0,16000.0
33,Lobos de la BUAP,https://cdn.sofifa.org/24/18/teams/111035.png,https://cdn.sofifa.org/flags/83.png,156423,J. Medina,Mexico,71,https://cdn.sofifa.org/48/18/players/156423.png,71,1969,1400000.0,16000.0
31,Brighton & Hove Albion,https://cdn.sofifa.org/24/18/teams/1808.png,https://cdn.sofifa.org/flags/21.png,157703,U. Hünemeier,Germany,71,https://cdn.sofifa.org/48/18/players/157703.png,71,1720,1600000.0,29000.0
22,Hamburger SV,https://cdn.sofifa.org/24/18/teams/28.png,https://cdn.sofifa.org/flags/21.png,223751,G. Jung,Germany,71,https://cdn.sofifa.org/48/18/players/223751.png,80,1702,3200000.0,18000.0
31,Excelsior,https://cdn.sofifa.org/24/18/teams/1971.png,https://cdn.sofifa.org/flags/34.png,184071,R. Koolwijk,Netherlands,71,https://cdn.sofifa.org/48/18/players/184071.png,71,1844,1600000.0,8000.0
27,SV Darmstadt 98,https://cdn.sofifa.org/24/18/teams/110502.png,https://cdn.sofifa.org/flags/37.png,189447,A. Sobiech,Poland,71,https://cdn.sofifa.org/48/18/players/189447.png,72,1740,2800000.0,19000.0
21,Real Sporting de Gijón,https://cdn.sofifa.org/24/18/teams/459.png,https://cdn.sofifa.org/flags/45.png,229896,Jordi Calavera,Spain,71,https://cdn.sofifa.org/48/18/players/229896.png,79,1881,3000000.0,10000.0
31,Getafe CF,https://cdn.sofifa.org/24/18/teams/1860.png,https://cdn.sofifa.org/flags/45.png,166664,Molinero,Spain,71,https://cdn.sofifa.org/48/18/players/166664.png,71,1894,1600000.0,15000.0
22,CA Osasuna,https://cdn.sofifa.org/24/18/teams/479.png,https://cdn.sofifa.org/flags/45.png,208137,Lucas Torró,Spain,71,https://cdn.sofifa.org/48/18/players/208137.png,82,1747,3600000.0,6000.0
36,RSC Anderlecht,https://cdn.sofifa.org/24/18/teams/229.png,https://cdn.sofifa.org/flags/7.png,49161,O. Deschacht,Belgium,71,https://cdn.sofifa.org/48/18/players/49161.png,71,1634,325000.0,10000.0
27,Antalyaspor,https://cdn.sofifa.org/24/18/teams/741.png,https://cdn.sofifa.org/flags/7.png,199946,Danilo,Belgium,71,https://cdn.sofifa.org/48/18/players/199946.png,71,1781,2500000.0,13000.0
28,IF Elfsborg,https://cdn.sofifa.org/24/18/teams/700.png,https://cdn.sofifa.org/flags/46.png,205834,S. Lundevall,Sweden,71,https://cdn.sofifa.org/48/18/players/205834.png,71,1788,2400000.0,5000.0
25,Coritiba Foot Ball Club,https://cdn.sofifa.org/24/18/teams/111044.png,https://cdn.sofifa.org/flags/54.png,230410,Natinho Mestres,Brazil,71,https://cdn.sofifa.org/48/18/players/230410.png,71,1598,2100000.0,14000.0
25,Real Zaragoza,https://cdn.sofifa.org/24/18/teams/244.png,https://cdn.sofifa.org/flags/45.png,234762,Alberto Benito,Spain,71,https://cdn.sofifa.org/48/18/players/234762.png,76,1794,2600000.0,8000.0
32,Kaizer Chiefs,https://cdn.sofifa.org/24/18/teams/110929.png,https://cdn.sofifa.org/flags/140.png,186890,T. Masilela,South Africa,71,https://cdn.sofifa.org/48/18/players/186890.png,71,1875,1300000.0,1000.0
28,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,https://cdn.sofifa.org/flags/214.png,229899,E. Ben Nabouhane,Comoros,71,https://cdn.sofifa.org/48/18/players/229899.png,71,1729,2400000.0,1000.0
27,Real Oviedo,https://cdn.sofifa.org/24/18/teams/110827.png,https://cdn.sofifa.org/flags/45.png,234763,Ramón Folch,Spain,71,https://cdn.sofifa.org/48/18/players/234763.png,74,1750,2400000.0,7000.0
27,Cesena,https://cdn.sofifa.org/24/18/teams/110915.png,https://cdn.sofifa.org/flags/37.png,184587,T. Kupisz,Poland,71,https://cdn.sofifa.org/48/18/players/184587.png,71,1829,2500000.0,3000.0
25,Deportes Tolima,https://cdn.sofifa.org/24/18/teams/111722.png,https://cdn.sofifa.org/flags/56.png,213260,S. Montoya,Colombia,71,https://cdn.sofifa.org/48/18/players/213260.png,74,1775,3000000.0,2000.0
27,Lech Pozna?,https://cdn.sofifa.org/24/18/teams/873.png,https://cdn.sofifa.org/flags/37.png,200461,M. Makuszewski,Poland,71,https://cdn.sofifa.org/48/18/players/200461.png,71,1856,2500000.0,8000.0
32,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,https://cdn.sofifa.org/flags/42.png,139533,A. Hutton,Scotland,71,https://cdn.sofifa.org/48/18/players/139533.png,71,1870,1300000.0,23000.0
23,Östersunds FK,https://cdn.sofifa.org/24/18/teams/113173.png,https://cdn.sofifa.org/flags/161.png,231949,S. Ghoddos,Iran,71,https://cdn.sofifa.org/48/18/players/231949.png,76,1841,3200000.0,4000.0
22,RSC Anderlecht,https://cdn.sofifa.org/24/18/teams/229.png,https://cdn.sofifa.org/flags/7.png,216334,P. Gerkens,Belgium,71,https://cdn.sofifa.org/48/18/players/216334.png,77,1852,3200000.0,14000.0
23,,https://cdn.sofifa.org/flags/39.png,https://cdn.sofifa.org/flags/39.png,222222,S. Filip,Romania,71,https://cdn.sofifa.org/48/18/players/222222.png,78,1792,0.0,0.0
33,CD O'Higgins,https://cdn.sofifa.org/24/18/teams/112116.png,https://cdn.sofifa.org/flags/55.png,160014,Y. Sanpian,Chile,71,https://cdn.sofifa.org/48/18/players/160014.png,71,1102,1200000.0,4000.0
30,Akhisar Belediyespor,https://cdn.sofifa.org/24/18/teams/111340.png,https://cdn.sofifa.org/flags/54.png,181006,Serginho,Brazil,71,https://cdn.sofifa.org/48/18/players/181006.png,71,1906,1800000.0,12000.0
30,FC Sion,https://cdn.sofifa.org/24/18/teams/110770.png,https://cdn.sofifa.org/flags/118.png,177935,K. Constant,Guinea,71,https://cdn.sofifa.org/48/18/players/177935.png,71,1982,2200000.0,16000.0
30,Adelaide United,https://cdn.sofifa.org/24/18/teams/111393.png,https://cdn.sofifa.org/flags/45.png,203024,Isaías,Spain,71,https://cdn.sofifa.org/48/18/players/203024.png,71,1874,1800000.0,5000.0
26,Tiburones Rojos de Veracruz,https://cdn.sofifa.org/24/18/teams/110145.png,https://cdn.sofifa.org/flags/61.png,196881,J. Velázquez,Venezuela,71,https://cdn.sofifa.org/48/18/players/196881.png,73,1677,2400000.0,6000.0
27,Granada CF,https://cdn.sofifa.org/24/18/teams/110832.png,https://cdn.sofifa.org/flags/45.png,209937,Quini,Spain,71,https://cdn.sofifa.org/48/18/players/209937.png,71,1843,2000000.0,7000.0
20,Hannover 96,https://cdn.sofifa.org/24/18/teams/485.png,https://cdn.sofifa.org/flags/36.png,213777,I. Fossum,Norway,71,https://cdn.sofifa.org/48/18/players/213777.png,78,1819,3300000.0,20000.0
28,KV Kortrijk,https://cdn.sofifa.org/24/18/teams/100081.png,https://cdn.sofifa.org/flags/18.png,229137,E. Rolland,France,71,https://cdn.sofifa.org/48/18/players/229137.png,71,1873,2400000.0,12000.0
30,,https://cdn.sofifa.org/flags/23.png,https://cdn.sofifa.org/flags/23.png,201746,R. Guzmics,Hungary,71,https://cdn.sofifa.org/48/18/players/201746.png,71,1582,0.0,0.0
24,Burton Albion,https://cdn.sofifa.org/24/18/teams/15015.png,https://cdn.sofifa.org/flags/14.png,202770,C. Ripley,England,71,https://cdn.sofifa.org/48/18/players/202770.png,78,1010,2400000.0,8000.0
21,Rangers,https://cdn.sofifa.org/24/18/teams/86.png,https://cdn.sofifa.org/flags/56.png,221714,A. Morelos,Colombia,71,https://cdn.sofifa.org/48/18/players/221714.png,83,1549,4300000.0,30000.0
23,Fortuna Düsseldorf,https://cdn.sofifa.org/24/18/teams/110636.png,https://cdn.sofifa.org/flags/36.png,190738,H. Nielsen,Norway,71,https://cdn.sofifa.org/48/18/players/190738.png,75,1792,3100000.0,18000.0
26,Minnesota United,https://cdn.sofifa.org/24/18/teams/111138.png,https://cdn.sofifa.org/flags/95.png,237075,C. Ramirez,United States,71,https://cdn.sofifa.org/48/18/players/237075.png,73,1669,2900000.0,7000.0
27,U.N.A.M.,https://cdn.sofifa.org/24/18/teams/1881.png,https://cdn.sofifa.org/flags/83.png,179731,D. Cabrera,Mexico,71,https://cdn.sofifa.org/48/18/players/179731.png,71,1895,2400000.0,16000.0
24,AS Nancy Lorraine,https://cdn.sofifa.org/24/18/teams/1823.png,https://cdn.sofifa.org/flags/18.png,205334,A. Koura,France,71,https://cdn.sofifa.org/48/18/players/205334.png,75,1658,3100000.0,6000.0
23,Girondins de Bordeaux,https://cdn.sofifa.org/24/18/teams/59.png,https://cdn.sofifa.org/flags/18.png,223510,A. Mendy,France,71,https://cdn.sofifa.org/48/18/players/223510.png,76,1653,3200000.0,26000.0
33,Deportes Iquique,https://cdn.sofifa.org/24/18/teams/112531.png,https://cdn.sofifa.org/flags/55.png,160022,G. Parreses,Chile,71,https://cdn.sofifa.org/48/18/players/160022.png,71,1077,1200000.0,2000.0
23,RC Deportivo de La Coruña,https://cdn.sofifa.org/24/18/teams/242.png,https://cdn.sofifa.org/flags/45.png,229654,Gerard Valentín,Spain,71,https://cdn.sofifa.org/48/18/players/229654.png,78,1760,2800000.0,13000.0
31,CD Aves,https://cdn.sofifa.org/24/18/teams/666.png,https://cdn.sofifa.org/flags/54.png,204823,Nildo Petrolina,Brazil,71,https://cdn.sofifa.org/48/18/players/204823.png,71,1953,2100000.0,10000.0
39,Parma,https://cdn.sofifa.org/24/18/teams/50.png,https://cdn.sofifa.org/flags/27.png,142359,A. Lucarelli,Italy,71,https://cdn.sofifa.org/48/18/players/142359.png,71,1512,160000.0,3000.0
25,Bristol City,https://cdn.sofifa.org/24/18/teams/1919.png,https://cdn.sofifa.org/flags/14.png,199960,J. Paterson,England,71,https://cdn.sofifa.org/48/18/players/199960.png,74,1746,3000000.0,29000.0
24,FC Ingolstadt 04,https://cdn.sofifa.org/24/18/teams/111239.png,https://cdn.sofifa.org/flags/21.png,211736,R. Leipertz,Germany,71,https://cdn.sofifa.org/48/18/players/211736.png,75,1717,3100000.0,14000.0
25,Clube Atlético Mineiro,https://cdn.sofifa.org/24/18/teams/1035.png,https://cdn.sofifa.org/flags/54.png,230424,Sandelas Júnior,Brazil,71,https://cdn.sofifa.org/48/18/players/230424.png,71,1814,2100000.0,20000.0
32,Al Raed,https://cdn.sofifa.org/24/18/teams/112392.png,https://cdn.sofifa.org/flags/118.png,168984,I. Bangoura,Guinea,71,https://cdn.sofifa.org/48/18/players/168984.png,71,1727,1900000.0,17000.0
28,Jagiellonia Bia?ystok,https://cdn.sofifa.org/24/18/teams/110745.png,https://cdn.sofifa.org/flags/25.png,189208,C. Sheridan,Republic of Ireland,71,https://cdn.sofifa.org/48/18/players/189208.png,71,1636,2400000.0,9000.0
24,1. FC Union Berlin,https://cdn.sofifa.org/24/18/teams/1831.png,https://cdn.sofifa.org/flags/21.png,200473,S. Skrzybski,Germany,71,https://cdn.sofifa.org/48/18/players/200473.png,76,1795,3200000.0,21000.0
27,Kashiwa Reysol,https://cdn.sofifa.org/24/18/teams/101145.png,https://cdn.sofifa.org/flags/54.png,205081,Diego Oliveira,Brazil,71,https://cdn.sofifa.org/48/18/players/205081.png,71,1704,2500000.0,11000.0
26,Club Atlético Lanús,https://cdn.sofifa.org/24/18/teams/110395.png,https://cdn.sofifa.org/flags/52.png,205849,E. Andrada,Argentina,71,https://cdn.sofifa.org/48/18/players/205849.png,76,1126,2200000.0,9000.0
23,1. FC Nürnberg,https://cdn.sofifa.org/24/18/teams/171.png,https://cdn.sofifa.org/flags/21.png,212249,S. Kerk,Germany,71,https://cdn.sofifa.org/48/18/players/212249.png,77,1771,3200000.0,9000.0
22,Tondela,https://cdn.sofifa.org/24/18/teams/112516.png,https://cdn.sofifa.org/flags/38.png,224538,Pedro Nuno,Portugal,71,https://cdn.sofifa.org/48/18/players/224538.png,80,1820,3600000.0,8000.0
21,Torino,https://cdn.sofifa.org/24/18/teams/54.png,https://cdn.sofifa.org/flags/27.png,235290,K. Bonifazi,Italy,71,https://cdn.sofifa.org/48/18/players/235290.png,82,1519,3600000.0,19000.0
30,Club América,https://cdn.sofifa.org/24/18/teams/1879.png,https://cdn.sofifa.org/flags/54.png,180250,William,Brazil,71,https://cdn.sofifa.org/48/18/players/180250.png,71,1991,2200000.0,35000.0
23,Asociacion Deportivo Cali,https://cdn.sofifa.org/24/18/teams/101102.png,https://cdn.sofifa.org/flags/56.png,215067,D. Rosero Valencia,Colombia,71,https://cdn.sofifa.org/48/18/players/215067.png,79,1717,3000000.0,2000.0
32,FC Augsburg,https://cdn.sofifa.org/24/18/teams/100409.png,https://cdn.sofifa.org/flags/21.png,156443,C. Janker,Germany,71,https://cdn.sofifa.org/48/18/players/156443.png,71,1562,1400000.0,16000.0
34,BSC Young Boys,https://cdn.sofifa.org/24/18/teams/900.png,https://cdn.sofifa.org/flags/47.png,45083,S. von Bergen,Switzerland,71,https://cdn.sofifa.org/48/18/players/45083.png,71,1644,725000.0,15000.0
25,Novara,https://cdn.sofifa.org/24/18/teams/112225.png,https://cdn.sofifa.org/flags/27.png,186140,F. Macheda,Italy,71,https://cdn.sofifa.org/48/18/players/186140.png,73,1700,2900000.0,4000.0
34,Brighton & Hove Albion,https://cdn.sofifa.org/24/18/teams/1808.png,https://cdn.sofifa.org/flags/14.png,134941,S. Sidwell,England,71,https://cdn.sofifa.org/48/18/players/134941.png,71,1929,1200000.0,31000.0
24,Benevento Calcio,https://cdn.sofifa.org/24/18/teams/112026.png,https://cdn.sofifa.org/flags/117.png,206109,Y. Chibsah,Ghana,71,https://cdn.sofifa.org/48/18/players/206109.png,78,1877,3300000.0,17000.0
29,DSC Arminia Bielefeld,https://cdn.sofifa.org/24/18/teams/159.png,https://cdn.sofifa.org/flags/21.png,211741,T. Schütz,Germany,71,https://cdn.sofifa.org/48/18/players/211741.png,71,1850,1800000.0,7000.0
35,Avellino,https://cdn.sofifa.org/24/18/teams/2038.png,https://cdn.sofifa.org/flags/27.png,137758,S. Rizzato,Italy,71,https://cdn.sofifa.org/48/18/players/137758.png,71,1913,1000000.0,3000.0
22,SD Huesca,https://cdn.sofifa.org/24/18/teams/110839.png,https://cdn.sofifa.org/flags/45.png,204830,Vadillo,Spain,71,https://cdn.sofifa.org/48/18/players/204830.png,79,1691,3500000.0,6000.0
22,Kasimpa?a SK,https://cdn.sofifa.org/24/18/teams/111339.png,https://cdn.sofifa.org/flags/111.png,226078,Trezeguet,Egypt,71,https://cdn.sofifa.org/48/18/players/226078.png,77,1726,3200000.0,14000.0
20,Jeonbuk Hyundai Motors,https://cdn.sofifa.org/24/18/teams/1477.png,https://cdn.sofifa.org/flags/167.png,237086,Kim Min Jae,Korea Republic,71,https://cdn.sofifa.org/48/18/players/237086.png,81,1575,3400000.0,6000.0
26,FC Augsburg,https://cdn.sofifa.org/24/18/teams/100409.png,https://cdn.sofifa.org/flags/117.png,190494,D. Opare,Ghana,71,https://cdn.sofifa.org/48/18/players/190494.png,74,1929,2400000.0,16000.0
25,1. FC Union Berlin,https://cdn.sofifa.org/24/18/teams/1831.png,https://cdn.sofifa.org/flags/21.png,202271,A. Gogia,Germany,71,https://cdn.sofifa.org/48/18/players/202271.png,73,1785,2900000.0,23000.0
25,Osmanl?spor,https://cdn.sofifa.org/24/18/teams/112958.png,https://cdn.sofifa.org/flags/48.png,203807,E. Bekdemir,Turkey,71,https://cdn.sofifa.org/48/18/players/203807.png,72,1868,2800000.0,13000.0
26,Pogo? Szczecin,https://cdn.sofifa.org/24/18/teams/110746.png,https://cdn.sofifa.org/flags/23.png,209439,A. Gyurcsó,Hungary,71,https://cdn.sofifa.org/48/18/players/209439.png,72,1779,2800000.0,6000.0
24,Lazio,https://cdn.sofifa.org/24/18/teams/46.png,https://cdn.sofifa.org/flags/15.png,224031,A. Maruši?,Montenegro,71,https://cdn.sofifa.org/48/18/players/224031.png,75,1962,2600000.0,23000.0
33,Deportes Iquique,https://cdn.sofifa.org/24/18/teams/112531.png,https://cdn.sofifa.org/flags/55.png,160031,M. Miyin,Chile,71,https://cdn.sofifa.org/48/18/players/160031.png,71,1829,900000.0,3000.0
36,LA Galaxy,https://cdn.sofifa.org/24/18/teams/697.png,https://cdn.sofifa.org/flags/14.png,34079,A. Cole,England,71,https://cdn.sofifa.org/48/18/players/34079.png,71,1869,270000.0,4000.0
30,Kashima Antlers,https://cdn.sofifa.org/24/18/teams/101147.png,https://cdn.sofifa.org/flags/54.png,167967,Pedro Júnior,Brazil,71,https://cdn.sofifa.org/48/18/players/167967.png,71,1767,2300000.0,11000.0
27,Kayserispor,https://cdn.sofifa.org/24/18/teams/101020.png,https://cdn.sofifa.org/flags/104.png,194847,Ryan Mendes,Cape Verde,71,https://cdn.sofifa.org/48/18/players/194847.png,71,1701,2500000.0,11000.0
31,CD Feirense,https://cdn.sofifa.org/24/18/teams/10019.png,https://cdn.sofifa.org/flags/104.png,196896,Babanco,Cape Verde,71,https://cdn.sofifa.org/48/18/players/196896.png,71,1938,2000000.0,8000.0
32,Derby County,https://cdn.sofifa.org/24/18/teams/91.png,https://cdn.sofifa.org/flags/14.png,139296,D. Nugent,England,71,https://cdn.sofifa.org/48/18/players/139296.png,71,1768,1900000.0,40000.0
24,Lech Pozna?,https://cdn.sofifa.org/24/18/teams/873.png,https://cdn.sofifa.org/flags/47.png,208160,D. Jevti?,Switzerland,71,https://cdn.sofifa.org/48/18/players/208160.png,77,1823,3200000.0,7000.0
38,Unión de Santa Fe,https://cdn.sofifa.org/24/18/teams/111716.png,https://cdn.sofifa.org/flags/52.png,159520,N. Fernández,Argentina,71,https://cdn.sofifa.org/48/18/players/159520.png,71,1145,160000.0,5000.0
27,La Spezia,https://cdn.sofifa.org/24/18/teams/110741.png,https://cdn.sofifa.org/flags/27.png,189728,G. Marilungo,Italy,71,https://cdn.sofifa.org/48/18/players/189728.png,71,1812,2500000.0,20000.0
26,Molde FK,https://cdn.sofifa.org/24/18/teams/417.png,https://cdn.sofifa.org/flags/136.png,213537,B. Sarr,Senegal,71,https://cdn.sofifa.org/48/18/players/213537.png,76,1837,2600000.0,6000.0
